,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,language
0,,,6.75,,,,,,,,,
1,,,33.72,,,,,,,,,
2,,,32.07,,,,,,,,,
3,,,53.99,,,,,,,,,
4,,,24.49,,,,,,,,,
5,,,46.491537396121885,,,,,,,,,
6,,,40.49,,,,,,,,,
7,,,,,,,,,,,,
8,,,54.19,,,,,,,,,
9,,,56.99,,,,,,,,,
10,,,20.0,,,,,,,,,
11,,,15.97,,,,,,,,,
12,,,46.491537396121885,,,,,,,,,
13,,,28.6,,,,,,,,,
14,,,39.99,,,,,,,,,
15,,,24.99,,,,,,,,,
16,,,46.491537396121885,,,,,,,,,
17,,,10.69,,,,,,,,,
18,,,19.38,,,,,,,,,
19,,,49.99,,,,,,,,,
20,,,29.99,,,,,,,,,
21,,,24.2,,,,,,,,,
22,,,9.99,,,,,,,,,
23,,,68.59,,,,,,,,,
24,,,51.95,,,,,,,,,
25,,,29.99,,,,,,,,,
26,,,50.99,,,,,,,,,
27,,,15.97,,,,,,,,,
28,,,46.491537396121885,,,,,,,,,
29,,,54.99,,,,,,,,,
30,,,10.74,,,,,,,,,
31,,,13.99,,,,,,,,,
32,,,0.99,,,,,,,,,
33,,,28.99,,,,,,,,,
34,,,46.491537396121885,,,,,,,,,
35,,,44.49,,,,,,,,,
36,,,27.99,,,,,,,,,
37,,,36.99,,,,,,,,,
38,,,59.2,,,,,,,,,
39,,,32.99,,,,,,,,,
40,,,14.0,,,,,,,,,
41,,,40.99,,,,,,,,,
42,,,44.99,,,,,,,,,
43,,,49.99,,,,,,,,,
44,,,27.99,,,,,,,,,
45,,,55.32,,,,,,,,,
46,,,,,,,,,,,,
47,,,31.99,,,,,,,,,
48,,,75.24,,,,,,,,,
49,,,34.95,,,,,,,,,
50,,,1.69,,,,,,,,,
51,,,46.491537396121885,,,,,,,,,
52,,,30.99,,,,,,,,,
53,,,52.21,,,,,,,,,
54,,,22.58,,,,,,,,,
55,,,46.491537396121885,,,,,,,,,
56,,,29.95,,,,,,,,,
57,,,,,,,,,,,,
58,,,21.09,,,,,,,,,
59,,,48.99,,,,,,,,,
60,,,71.91,,,,,,,,,
61,,,26.49,,,,,,,,,
62,,,69.0,,,,,,,,,
63,,,18.39,,,,,,,,,
64,,,11.97,,,,,,,,,
65,,,34.49,,,,,,,,,
66,,,25.0,,,,,,,,,
67,,,45.98,,,,,,,,,
68,,,17.99,,,,,,,,,
69,,,28.49,,,,,,,,,
70,,,25.0,,,,,,,,,
71,,,31.3,,,,,,,,,
72,,,12.99,,,,,,,,,
73,,,56.95,,,,,,,,,
74,,,41.99,,,,,,,,,
75,,,57.34,,,,,,,,,
76,,,77.07,,,,,,,,,
77,,,27.99,,,,,,,,,
78,,,46.491537396121885,,,,,,,,,
79,,,28.99,,,,,,,,,
80,,,,,,,,,,,,
81,,,48.17,,,,,,,,,
82,,,46.491537396121885,,,,,,,,,
83,,,43.52,,,,,,,,,
84,,,22.49,,,,,,,,,
85,,,25.49,,,,,,,,,
86,,,49.99,,,,,,,,,
87,,,37.99,,,,,,,,,
88,,,24.95,,,,,,,,,
89,,,59.36,,,,,,,,,
90,,,,,,,,,,,,
91,,,31.3,,,,,,,,,
92,,,18.97,,,,,,,,,
93,,,15.99,,,,,,,,,
94,,,40.49,,,,,,,,,
95,,,19.59,,,,,,,,,
96,,,30.99,,,,,,,,,
97,,,59.91,,,,,,,,,
98,,,48.99,,,,,,,,,
99,,,47.85,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,27.49,,,,,,,,,
105,,,46.491537396121885,,,,,,,,,
106,,,51.0,,,,,,,,,
107,,,38.81,,,,,,,,,
108,,,35.0,,,,,,,,,
109,,,69.99,,,,,,,,,
110,,,51.99,,,,,,,,,
111,,,41.49,,,,,,,,,
112,,,44.83,,,,,,,,,
113,,,,,,,,,,,,
114,,,24.99,,,,,,,,,
115,,,35.99,,,,,,,,,
116,,,27.88,,,,,,,,,
117,,,62.99,,,,,,,,,
118,,,24.14,,,,,,,,,
119,,,19.7,,,,,,,,,
120,,,44.97,,,,,,,,,
121,,,26.44,,,,,,,,,
122,,,8.09,,,,,,,,,
123,,,69.06,,,,,,,,,
124,,,32.99,,,,,,,,,
125,,,75.95,,,,,,,,,
126,,,,,,,,,,,,
127,,,28.45,,,,,,,,,
128,,,47.62,,,,,,,,,
129,,,47.68,,,,,,,,,
130,,,58.41,,,,,,,,,
131,,,21.21,,,,,,,,,
132,,,,,,,,,,,,
133,,,26.0,,,,,,,,,
134,,,46.491537396121885,,,,,,,,,
135,,,,,,,,,,,,
136,,,9.02,,,,,,,,,
137,,,33.99,,,,,,,,,
138,,,46.491537396121885,,,,,,,,,
139,,,6.11,,,,,,,,,
140,,,19.24,,,,,,,,,
141,,,49.99,,,,,,,,,
142,,,44.99,,,,,,,,,
143,,,37.8,,,,,,,,,
144,,,17.95,,,,,,,,,
145,,,79.96,,,,,,,,,
146,,,59.84,,,,,,,,,
147,,,42.0,,,,,,,,,
148,,,34.99,,,,,,,,,
149,,,15.1,,,,,,,,,
150,,,41.99,,,,,,,,,
151,,,34.99,,,,,,,,,
152,,,9.99,,,,,,,,,
153,,,37.0,,,,,,,,,
154,,,40.0,,,,,,,,,
155,,,62.78,,,,,,,,,
156,,,59.99,,,,,,,,,
157,,,,,,,,,,,,
158,,,73.98,,,,,,,,,
159,,,73.99,,,,,,,,,
160,,,35.95,,,,,,,,,
161,,,24.95,,,,,,,,,
162,,,19.99,,,,,,,,,
163,,,39.99,,,,,,,,,
164,,,46.491537396121885,,,,,,,,,
165,,,63.52,,,,,,,,,
166,,,40.0,,,,,,,,,
167,,,,,,,,,,,,
168,,,68.86,,,,,,,,,
169,,,,,,,,,,,,
170,,,54.97,,,,,,,,,
171,,,48.94,,,,,,,,,
172,,,59.5,,,,,,,,,
173,,,,,,,,,,,,
174,,,12.99,,,,,,,,,
175,,,46.99,,,,,,,,,
176,,,19.99,,,,,,,,,
177,,,,,,,,,,,,
178,,,,,,,,,,,,
179,,,43.99,,,,,,,,,
180,,,76.19,,,,,,,,,
181,,,23.37,,,,,,,,,
182,,,29.99,,,,,,,,,
183,,,5.95,,,,,,,,,
184,,,46.99,,,,,,,,,
185,,,26.49,,,,,,,,,
186,,,39.49,,,,,,,,,
187,,,,,,,,,,,,
188,,,39.99,,,,,,,,,
189,,,30.16,,,,,,,,,
190,,,35.09,,,,,,,,,
191,,,,,,,,,,,,
192,,,9.99,,,,,,,,,
193,,,19.99,,,,,,,,,
194,,,25.1,,,,,,,,,
195,,,,,,,,,,,,
196,,,6.99,,,,,,,,,
197,,,49.99,,,,,,,,,
198,,,,,,,,,,,,
199,,,34.99,,,,,,,,,
200,,,12.99,,,,,,,,,
201,,,43.09,,,,,,,,,
202,,,39.99,,,,,,,,,
203,,,10.64,,,,,,,,,
204,,,,,,,,,,,,
205,,,4.97,,,,,,,,,
206,,,59.96,,,,,,,,,
207,,,54.68,,,,,,,,,
208,,,46.491537396121885,,,,,,,,,
209,,,17.27,,,,,,,,,
210,,,78.49,,,,,,,,,
211,,,42.7,,,,,,,,,
212,,,30.0,,,,,,,,,
213,,,21.09,,,,,,,,,
214,,,5.95,,,,,,,,,
215,,,44.99,,,,,,,,,
216,,,77.0,,,,,,,,,
217,,,46.53,,,,,,,,,
218,,,31.99,,,,,,,,,
219,,,42.0,,,,,,,,,
220,,,74.04,,,,,,,,,
221,,,46.491537396121885,,,,,,,,,
222,,,,,,,,,,,,
223,,,48.16,,,,,,,,,
224,,,34.95,,,,,,,,,
225,,,87.0,,,,,,,,,
226,,,,,,,,,,,,
227,,,51.99,,,,,,,,,
228,,,19.99,,,,,,,,,
229,,,19.16,,,,,,,,,
230,,,43.15,,,,,,,,,
231,,,30.51,,,,,,,,,
232,,,,,,,,,,,,
233,,,42.0,,,,,,,,,
234,,,45.99,,,,,,,,,
235,,,13.29,,,,,,,,,
236,,,15.99,,,,,,,,,
237,,,20.97,,,,,,,,,
238,,,52.17,,,,,,,,,
239,,,57.99,,,,,,,,,
240,,,16.99,,,,,,,,,
241,,,24.9,,,,,,,,,
242,,,,,,,,,,,,
243,,,48.15,,,,,,,,,
244,,,39.99,,,,,,,,,
245,,,0.99,,,,,,,,,
246,,,23.99,,,,,,,,,
247,,,65.11,,,,,,,,,
248,,,,,,,,,,,,
249,,,39.89,,,,,,,,,
250,,,16.97,,,,,,,,,
251,,,19.31,,,,,,,,,
252,,,14.99,,,,,,,,,
253,,,24.99,,,,,,,,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,53.99,,,,,,,,,
257,,,80.11,,,,,,,,,
258,,,46.491537396121885,,,,,,,,,
259,,,39.49,,,,,,,,,
260,,,49.95,,,,,,,,,
261,,,47.85,,,,,,,,,
262,,,45.99,,,,,,,,,
263,,,44.99,,,,,,,,,
264,,,18.86,,,,,,,,,
265,,,44.99,,,,,,,,,
266,,,18.99,,,,,,,,,
267,,,14.49,,,,,,,,,
268,,,46.06,,,,,,,,,
269,,,,,,,,,,,,
270,,,44.99,,,,,,,,,
271,,,5.95,,,,,,,,,
272,,,57.28,,,,,,,,,
273,,,49.99,,,,,,,,,
274,,,17.9,,,,,,,,,
275,,,17.95,,,,,,,,,
276,,,19.97,,,,,,,,,
277,,,,,,,,,,,,
278,,,18.04,,,,,,,,,
279,,,4.99,,,,,,,,,
280,,,,,,,,,,,,
281,,,19.89,,,,,,,,,
282,,,48.99,,,,,,,,,
283,,,28.1,,,,,,,,,
284,,,17.84,,,,,,,,,
285,,,,,,,,,,,,
286,,,29.95,,,,,,,,,
287,,,54.08,,,,,,,,,
288,,,35.71,,,,,,,,,
289,,,14.97,,,,,,,,,
290,,,14.8,,,,,,,,,
291,,,40.99,,,,,,,,,
292,,,48.25,,,,,,,,,
293,,,56.87,,,,,,,,,
294,,,42.07,,,,,,,,,
295,,,34.99,,,,,,,,,
296,,,32.99,,,,,,,,,
297,,,24.99,,,,,,,,,
298,,,,,,,,,,,,
299,,,37.49,,,,,,,,,
300,,,46.99,,,,,,,,,
301,,,33.49,,,,,,,,,
302,,,,,,,,,,,,
303,,,37.74,,,,,,,,,
304,,,,,,,,,,,,
305,,,35.67,,,,,,,,,
306,,,46.491537396121885,,,,,,,,,
307,,,22.99,,,,,,,,,
308,,,31.9,,,,,,,,,
309,,,68.62,,,,,,,,,
310,,,,,,,,,,,,
311,,,46.491537396121885,,,,,,,,,
312,,,46.491537396121885,,,,,,,,,
313,,,67.1,,,,,,,,,
314,,,60.0,,,,,,,,,
315,,,59.99,,,,,,,,,
316,,,32.99,,,,,,,,,
317,,,23.25,,,,,,,,,
318,,,3.99,,,,,,,,,
319,,,79.99,,,,,,,,,
320,,,48.0,,,,,,,,,
321,,,69.99,,,,,,,,,
322,,,46.491537396121885,,,,,,,,,
323,,,25.85,,,,,,,,,
